"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","83841","Provision Paid Leader with Available Slots","setup-leader-functional","2026-08-21","passed","2026-08-21","Setup - Functional Leader Provisioning","setup/leader-functional.setup.ts","",""
"","14110","Phase 1: Registration Entry & Resend UI Countdown","auth","2026-08-21","passed","2026-08-21","Registration - Resend OTP Lifecycle","features/auth/registration.spec.ts","",""
"","45339","Upgrade: Active Plan ($19) → Multi-Group Plan ($49) — verifies Stripe payment, $49 billing, and Multi-Group card state","plan-transition","2026-08-21","passed","2026-08-21","Hosting Plan Transition — Downgrade · Re-activate · Upgrade","features/transitions/active-plan-transition.spec.ts","",""
"","19471","Downgrade: one group Active → Listing — verifies group-scoped menu, modal, and success toast","group-transition","2026-08-21","passed","2026-08-21","Multi-Group — Transitions (Downgrade · Reactivate · Cancel & Delete · Cancel Subscription)","features/transitions/multi-group-transition.spec.ts","",""
"","5960","Verify password visibility can be toggled in Registration","auth","2026-08-21","passed","2026-08-21","Registration - Password Visibility","features/auth/registration.spec.ts","",""
"","7971","EARN-01: Earnings page reports the Stripe connection state","default","2026-08-21","passed","2026-08-21","Earnings — Stripe Connection","features/payment/transactions-history.spec.ts","",""
"","8195","Invalid Credentials: Unregistered user cannot login with a generated email","auth","2026-08-21","passed","2026-08-21","Login – Single User > Invalid Login – Boundary & Validation","features/auth/login.spec.ts","",""
"","39856","Reactivate: Listing → Active Group — verifies Stripe payment, billing restoration, and Active-state menu","group-transition","2026-08-21","passed","2026-08-21","Group Transition — Downgrade · Reactivate · Cancel & Delete","features/transitions/active-group-transition.spec.ts","",""
"","1329","TC-02: Group Discovery - Search Functionality","setup-member-subscribed","2026-08-21","passed","2026-08-21","Member Group Join Flow","features/group/group-join-flow.spec.ts","",""
"","8927","TXN-01: Hosting charge is recorded with the correct amount and status","default","2026-08-21","passed","2026-08-21","Transactions History","features/payment/transactions-history.spec.ts","",""
"","13330","Authenticate leader_multi_group_hosting_plan","setup-auth","2026-08-21","passed","2026-08-21","Global Authentication Setup","setup/auth.setup.ts","",""
"","9438","Format Constraint: Password (Minimum Complexity: Len, Mix, Digit)","auth","2026-08-21","passed","2026-08-21","Registration - Integrity Matrix","features/auth/registration.spec.ts","",""
